car_model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
17,21.0,6,160.0,110,3.9,2.62,16.46,V-shaped,Automatic,4,4
18,21.0,6,160.0,110,3.9,2.875,17.02,V-shaped,Automatic,4,4
4,22.8,4,108.0,93,3.85,2.32,18.61,Straight,Automatic,4,1
12,21.4,6,258.0,110,3.08,3.215,19.44,Straight,Manual,3,1
13,18.7,8,360.0,175,3.15,3.44,17.02,V-shaped,Manual,3,2
30,18.1,6,225.0,105,2.76,3.46,20.22,Straight,Manual,3,1
6,14.3,8,360.0,245,3.21,3.57,15.84,V-shaped,Manual,3,4
20,24.4,4,146.7,62,3.69,3.19,20.0,Straight,Manual,4,2
19,22.8,4,140.8,95,3.92,3.15,22.9,Straight,Manual,4,2
21,19.2,6,167.6,123,3.92,3.44,18.3,Straight,Manual,4,4
22,17.8,6,167.6,123,3.92,3.44,18.9,Straight,Manual,4,4
23,16.4,8,275.8,180,3.07,4.07,17.4,V-shaped,Manual,3,3
24,17.3,8,275.8,180,3.07,3.73,17.6,V-shaped,Manual,3,3
25,15.2,8,275.8,180,3.07,3.78,18.0,V-shaped,Manual,3,3
1,10.4,8,472.0,205,2.93,5.25,17.98,V-shaped,Manual,3,4
14,10.4,8,460.0,215,3.0,5.424,17.82,V-shaped,Manual,3,4
3,14.7,8,440.0,230,3.23,5.345,17.42,V-shaped,Manual,3,4
8,32.4,4,78.7,66,4.08,2.2,19.47,Straight,Automatic,4,1
11,30.4,4,75.7,52,4.93,1.615,18.52,Straight,Automatic,4,2
28,33.9,4,71.1,65,4.22,1.835,19.9,Straight,Automatic,4,1
29,21.5,4,120.1,97,3.7,2.465,20.01,Straight,Manual,3,1
5,15.5,8,318.0,150,2.76,3.52,16.87,V-shaped,Manual,3,2
0,15.2,8,304.0,150,3.15,3.435,17.3,V-shaped,Manual,3,2
2,13.3,8,350.0,245,3.73,3.84,15.41,V-shaped,Manual,3,4
26,19.2,8,400.0,175,3.08,3.845,17.05,V-shaped,Manual,3,2
9,27.3,4,79.0,66,4.08,1.935,18.9,Straight,Automatic,4,1
27,26.0,4,120.3,91,4.43,2.14,16.7,V-shaped,Automatic,5,2
15,30.4,4,95.1,113,3.77,1.513,16.9,Straight,Automatic,5,2
10,15.8,8,351.0,264,4.22,3.17,14.5,V-shaped,Automatic,5,4
7,19.7,6,145.0,175,3.62,2.77,15.5,V-shaped,Automatic,5,6
16,15.0,8,301.0,335,3.54,3.57,14.6,V-shaped,Automatic,5,8
31,21.4,4,121.0,109,4.11,2.78,18.6,Straight,Automatic,4,2
